row,col,year,month,day,hour,B04B,B05B,B06B,B09B,B10B,B11B,B12B,B14B,B16B,I2B,I4B,IRB,VSB,WVB,Label
18,102,2020,10,1,5,0.48269653,0.19763184,0.20023601,225.90083,228.52834,236.3177,233.76906,233.55208,228.745,231.56877,263.3567,236.15338,0.35419717,222.10316,0
18,116,2020,10,1,5,0.630778,0.18980916,0.24395752,225.34666,226.57915,228.11455,229.25032,227.27095,224.69043,225.91174,253.83702,229.01239,0.57663983,221.908,0
18,134,2020,10,1,5,0.67056274,0.22568767,0.2980957,211.7,212.28444,211.64833,221.20801,210.66768,210.44556,210.0189,254.73134,212.65979,0.6144816,210.93861,0
18,139,2020,10,1,5,0.62687176,0.23284912,0.30591837,211.26335,210.63222,211.67583,220.81267,209.85065,209.38997,209.27,254.99768,211.34431,0.5799052,210.31348,0
19,108,2020,10,1,5,0.5472717,0.19828288,0.22178142,227.62581,229.32735,234.52763,232.68713,232.74084,228.75624,231.0417,258.48877,234.76018,0.44681802,223.48985,0
19,112,2020,10,1,5,0.63012695,0.17937215,0.23610432,226.78748,228.07666,230.42363,230.58667,229.23706,226.81047,228.23079,252.46468,230.89046,0.5583903,223.29468,0
19,113,2020,10,1,5,0.651001,0.18001302,0.2380778,226.21625,227.59326,229.87305,230.09395,228.65047,226.39839,227.66443,252.91203,230.12476,0.57925415,223.10551,0
19,126,2020,10,1,5,0.4859619,0.18588257,0.2093811,222.51472,223.53874,228.86383,229.7454,225.54523,221.58,223.34166,260.94,228.03664,0.39266968,218.79002,0
20,91,2020,10,1,5,0.42203775,0.18916829,0.14608765,234.54333,239.76416,256.78467,246.19466,253.90135,243.5241,250.0951,278.30798,256.77402,0.2537435,228.15382,0
20,104,2020,10,1,5,0.4827067,0.21068318,0.18786621,229.49373,232.91632,245.20595,238.91939,242.16321,234.41374,239.0808,270.57376,244.87024,0.37309775,224.44734,0
20,135,2020,10,1,5,0.65752155,0.22959392,0.29742432,213.13667,213.89777,214.28333,222.39333,212.1267,211.33,211.3478,256.10233,213.76534,0.6046753,211.89748,0
21,98,2020,10,1,5,0.43574014,0.18523152,0.15522258,232.47664,238.10388,254.6109,245.07893,250.95453,240.85742,247.22044,276.6708,254.31938,0.27329507,226.10333,0
21,102,2020,10,1,5,0.45987955,0.19959514,0.16893514,231.27173,236.19695,250.88403,242.64783,247.02216,238.0114,243.34383,274.60587,250.3444,0.32026163,225.56335,0
21,109,2020,10,1,5,0.5407613,0.1806844,0.2074178,230.00848,232.69427,238.26808,234.5443,236.29668,232.23146,234.77998,258.89737,238.36873,0.443573,225.56335,0
21,129,2020,10,1,5,0.54923505,0.21458943,0.258962,217.6311,218.12958,219.9105,225.03053,217.9989,216.16762,216.80113,256.814,220.1061,0.47813925,215.58626,0
